id,labels,properties
0,"[SpatialLayer, RouteNode]","{\""index_class\"":\""org.neo4j.gis.spatial.index.LayerRTreeIndex\"",\""componentId\"":0,\""cyclist_allowed_grafmove\"":\""no\"",\""ctime\"":1761908060426,\""pedestrian_allowed_grafmove\"":\""no\"",\""geomencoder\"":\""org.neo4j.gis.spatial.encoders.SimplePointEncoder\"",\""layer_class\"":\""org.neo4j.gis.spatial.SimplePointLayer\"",\""layer\"":\""spatial_footbikenode\""}"
1,[RouteNode],"{\""componentId\"":1,\""cyclist_allowed_grafmove\"":\""no\"",\""bbox\"":[11.3463179,44.4985669,11.3657198,44.5254643],\""pedestrian_allowed_grafmove\"":\""no\""}"
2,[RouteNode],"{\""componentId\"":2,\""cyclist_allowed_grafmove\"":\""no\"",\""pedestrian_allowed_grafmove\"":\""no\"",\""maxNodeReferences\"":100,\""totalGeometryCount\"":20760}"
3,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.355178,44.5007405,11.355178,44.5007405],\""latitude\"":44.5007405,\""lon\"":11.355178,\""x\"":\""11.355178\"",\""y\"":\""44.5007405\"",\""geometry\"":\""POINT(11.355178 44.5007405)\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5007405,\""longitude\"":11.355178,\""height\"":null},\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""33344141\"",\""street_count\"":\""2\"",\""lat\"":44.5007405,\""longitude\"":11.355178}"
4,[RouteNode],"{\""componentId\"":4,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5241354,\""lon\"":11.3613237,\""x\"":\""11.3613237\"",\""y\"":\""44.5241354\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5241354,\""longitude\"":11.3613237,\""height\"":null},\""geometry\"":\""POINT(11.3613237 44.5241354)\"",\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""33859858\"",\""street_count\"":\""2\"",\""lat\"":44.5241354,\""longitude\"":11.3613237}"
5,[RouteNode],"{\""componentId\"":5,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5253206,\""lon\"":11.3570518,\""x\"":\""11.3570518\"",\""y\"":\""44.5253206\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5253206,\""longitude\"":11.3570518,\""height\"":null},\""geometry\"":\""POINT(11.3570518 44.5253206)\"",\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""120277193\"",\""street_count\"":\""2\"",\""lat\"":44.5253206,\""longitude\"":11.3570518}"
6,[RouteNode],"{\""componentId\"":6,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5253424,\""lon\"":11.3580056,\""x\"":\""11.3580056\"",\""y\"":\""44.5253424\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5253424,\""longitude\"":11.3580056,\""height\"":null},\""geometry\"":\""POINT(11.3580056 44.5253424)\"",\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""120277195\"",\""street_count\"":\""2\"",\""lat\"":44.5253424,\""longitude\"":11.3580056}"
7,[RouteNode],"{\""componentId\"":7,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5250472,\""lon\"":11.3594516,\""x\"":\""11.3594516\"",\""y\"":\""44.5250472\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5250472,\""longitude\"":11.3594516,\""height\"":null},\""geometry\"":\""POINT(11.3594516 44.5250472)\"",\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""120278835\"",\""highway\"":\""motorway_junction\"",\""street_count\"":\""3\"",\""lat\"":44.5250472,\""longitude\"":11.3594516}"
8,[RouteNode],"{\""componentId\"":8,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5252957,\""lon\"":11.358429,\""x\"":\""11.358429\"",\""y\"":\""44.5252957\"",\""geometry\"":\""POINT(11.358429 44.5252957)\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5252957,\""longitude\"":11.358429,\""height\"":null},\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""120281824\"",\""street_count\"":\""2\"",\""lat\"":44.5252957,\""longitude\"":11.358429}"
9,[RouteNode],"{\""componentId\"":9,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5253299,\""lon\"":11.3585151,\""x\"":\""11.3585151\"",\""y\"":\""44.5253299\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5253299,\""longitude\"":11.3585151,\""height\"":null},\""geometry\"":\""POINT(11.3585151 44.5253299)\"",\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""120281827\"",\""street_count\"":\""2\"",\""lat\"":44.5253299,\""longitude\"":11.3585151}"
10,[RouteNode],"{\""componentId\"":10,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5243813,\""lon\"":11.3604973,\""x\"":\""11.3604973\"",\""y\"":\""44.5243813\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5243813,\""longitude\"":11.3604973,\""height\"":null},\""geometry\"":\""POINT(11.3604973 44.5243813)\"",\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""177158824\"",\""street_count\"":\""2\"",\""lat\"":44.5243813,\""longitude\"":11.3604973}"
